epoch:1
train path acc=0.8561256474611139	test path acc=0.6542670460613643	ensemble acc=0.6631016042780749
vote rate for correct=0.877758241023191	vote rate for wrong=0.809623685507773
results			label	correct	vote rate
0.0	341.0	0.0	661.0	1.0	0.0	0.6596806387225549
0.0	0.0	0.0	666.0	3.0	1.0	1.0
0.0	0.0	0.0	674.0	3.0	1.0	1.0
0.0	306.0	0.0	0.0	1.0	1.0	1.0
0.0	33.0	0.0	11.0	2.0	0.0	0.75
566.0	256.0	0.0	1532.0	1.0	0.0	0.6508071367884452
117.0	0.0	0.0	309.0	3.0	1.0	0.7253521126760564
1148.0	260.0	0.0	3.0	0.0	1.0	0.813607370659107
2.0	292.0	32.0	1796.0	3.0	1.0	0.8463713477851084
329.0	218.0	21.0	58.0	3.0	0.0	0.5255591054313099
0.0	400.0	4.0	3793.0	3.0	1.0	0.9037407672146771
0.0	299.0	0.0	0.0	2.0	0.0	1.0
22.0	639.0	0.0	37.0	1.0	1.0	0.9154727793696275
1353.0	258.0	0.0	0.0	0.0	1.0	0.839851024208566
18.0	2153.0	0.0	45.0	1.0	1.0	0.9715703971119134
1.0	0.0	0.0	634.0	3.0	1.0	0.9984251968503937
294.0	0.0	0.0	0.0	3.0	0.0	1.0
643.0	883.0	0.0	3.0	1.0	1.0	0.5775016350555919
333.0	0.0	0.0	0.0	0.0	1.0	1.0
42.0	364.0	0.0	80.0	1.0	1.0	0.7489711934156379
1196.0	0.0	0.0	7.0	0.0	1.0	0.9941812136325852
14.0	370.0	0.0	2.0	1.0	1.0	0.9585492227979274
3.0	388.0	3.0	52.0	2.0	0.0	0.8699551569506726
0.0	0.0	0.0	730.0	2.0	0.0	1.0
0.0	0.0	0.0	730.0	3.0	1.0	1.0
437.0	377.0	0.0	0.0	0.0	1.0	0.5368550368550369
366.0	0.0	0.0	0.0	0.0	1.0	1.0
7.0	1256.0	0.0	7.0	1.0	1.0	0.988976377952756
2.0	503.0	1.0	309.0	1.0	1.0	0.6171779141104294
0.0	0.0	0.0	725.0	3.0	1.0	1.0
418.0	363.0	116.0	1393.0	2.0	0.0	0.608296943231441
0.0	0.0	0.0	931.0	2.0	0.0	1.0
0.0	6.0	44.0	259.0	3.0	1.0	0.8381877022653722
233.0	129.0	48.0	822.0	1.0	0.0	0.6672077922077922
0.0	386.0	0.0	0.0	1.0	1.0	1.0
220.0	12.0	0.0	4847.0	3.0	1.0	0.9543217168734003
12.0	3.0	0.0	4037.0	3.0	1.0	0.9962981243830207
7.0	241.0	8.0	0.0	0.0	0.0	0.94140625
214.0	409.0	0.0	0.0	1.0	1.0	0.6565008025682183
395.0	148.0	0.0	189.0	0.0	1.0	0.5396174863387978
177.0	0.0	0.0	3.0	0.0	1.0	0.9833333333333333
1.0	0.0	0.0	787.0	3.0	1.0	0.998730964467005
224.0	205.0	0.0	1.0	0.0	1.0	0.5209302325581395
1341.0	45.0	0.0	3562.0	3.0	1.0	0.7198868229587713
1638.0	12.0	0.0	6288.0	3.0	1.0	0.7921390778533636
1.0	758.0	0.0	66.0	2.0	0.0	0.9187878787878788
0.0	31.0	0.0	0.0	0.0	0.0	1.0
332.0	57.0	0.0	2386.0	3.0	1.0	0.8598198198198198
0.0	4.0	0.0	1565.0	3.0	1.0	0.9974506054811982
1173.0	268.0	0.0	3.0	0.0	1.0	0.8123268698060941
116.0	1571.0	0.0	20.0	1.0	1.0	0.9203280609256005
0.0	318.0	0.0	1061.0	3.0	1.0	0.7693981145757796
1.0	214.0	0.0	120.0	1.0	1.0	0.6388059701492538
0.0	0.0	0.0	1685.0	3.0	1.0	1.0
0.0	60.0	0.0	1212.0	3.0	1.0	0.9528301886792453
1245.0	1451.0	0.0	1130.0	0.0	0.0	0.3792472556194459
590.0	0.0	0.0	15.0	0.0	1.0	0.9752066115702479
0.0	0.0	0.0	903.0	3.0	1.0	1.0
834.0	0.0	0.0	1.0	0.0	1.0	0.9988023952095808
0.0	108.0	356.0	17.0	1.0	0.0	0.7401247401247402
0.0	209.0	0.0	1142.0	3.0	1.0	0.845299777942265
0.0	0.0	0.0	872.0	3.0	1.0	1.0
177.0	80.0	0.0	423.0	0.0	0.0	0.6220588235294118
111.0	48.0	0.0	249.0	3.0	1.0	0.6102941176470589
420.0	374.0	13.0	0.0	1.0	0.0	0.5204460966542751
38.0	352.0	0.0	0.0	1.0	1.0	0.9025641025641026
4.0	67.0	256.0	990.0	1.0	0.0	0.7517084282460137
2303.0	643.0	0.0	570.0	0.0	1.0	0.6550056882821388
0.0	48.0	0.0	914.0	1.0	0.0	0.9501039501039501
0.0	0.0	0.0	870.0	3.0	1.0	1.0
432.0	0.0	0.0	0.0	1.0	0.0	1.0
381.0	240.0	0.0	0.0	1.0	0.0	0.6135265700483091
0.0	7.0	273.0	396.0	0.0	0.0	0.5857988165680473
451.0	445.0	0.0	1.0	2.0	0.0	0.5027870680044593
0.0	0.0	0.0	925.0	3.0	1.0	1.0
4.0	0.0	0.0	1804.0	3.0	1.0	0.9977876106194691
650.0	2.0	0.0	1147.0	3.0	1.0	0.6375764313507504
0.0	539.0	0.0	1089.0	3.0	1.0	0.668918918918919
1.0	0.0	0.0	902.0	3.0	1.0	0.9988925802879292
396.0	603.0	0.0	1.0	1.0	1.0	0.603
6.0	798.0	0.0	6.0	3.0	0.0	0.9851851851851852
0.0	0.0	0.0	241.0	1.0	0.0	1.0
133.0	18.0	0.0	0.0	0.0	1.0	0.8807947019867549
1.0	745.0	146.0	0.0	1.0	1.0	0.8352017937219731
0.0	0.0	0.0	1877.0	3.0	1.0	1.0
0.0	0.0	159.0	1.0	2.0	1.0	0.99375
0.0	454.0	0.0	0.0	1.0	1.0	1.0
4.0	302.0	0.0	1.0	0.0	0.0	0.9837133550488599
3.0	0.0	0.0	1862.0	3.0	1.0	0.9983914209115281
594.0	396.0	46.0	34.0	2.0	0.0	0.5551401869158878
620.0	0.0	0.0	15.0	0.0	1.0	0.9763779527559056
1.0	321.0	82.0	15.0	2.0	0.0	0.766109785202864
838.0	471.0	0.0	11.0	0.0	1.0	0.6348484848484849
3.0	450.0	110.0	0.0	0.0	0.0	0.7992895204262878
1038.0	159.0	0.0	3.0	0.0	1.0	0.865
460.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	0.0	0.0	1848.0	3.0	1.0	1.0
393.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	429.0	0.0	0.0	1.0	1.0	1.0
2170.0	894.0	0.0	2.0	0.0	1.0	0.7077625570776256
756.0	122.0	0.0	10.0	0.0	1.0	0.8513513513513513
317.0	14.0	0.0	927.0	3.0	1.0	0.7368839427662957
27.0	766.0	0.0	3.0	1.0	1.0	0.9623115577889447
2.0	436.0	0.0	0.0	1.0	1.0	0.9954337899543378
364.0	11.0	0.0	217.0	1.0	0.0	0.6148648648648649
0.0	0.0	0.0	935.0	3.0	1.0	1.0
0.0	1.0	0.0	937.0	3.0	1.0	0.9989339019189766
0.0	0.0	0.0	948.0	3.0	1.0	1.0
0.0	0.0	3.0	2811.0	3.0	1.0	0.9989339019189766
1.0	359.0	0.0	3138.0	3.0	1.0	0.8970840480274442
686.0	87.0	0.0	0.0	1.0	0.0	0.88745148771022
0.0	1090.0	22.0	2.0	1.0	1.0	0.9784560143626571
13.0	675.0	0.0	1991.0	3.0	1.0	0.7431877566256065
241.0	50.0	0.0	0.0	1.0	0.0	0.8281786941580757
0.0	0.0	0.0	944.0	3.0	1.0	1.0
0.0	0.0	0.0	968.0	3.0	1.0	1.0
0.0	0.0	0.0	977.0	3.0	1.0	1.0
0.0	226.0	0.0	2.0	1.0	1.0	0.9912280701754386
934.0	274.0	0.0	0.0	0.0	1.0	0.7731788079470199
489.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	0.0	0.0	957.0	3.0	1.0	1.0
0.0	0.0	0.0	972.0	3.0	1.0	1.0
407.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	129.0	99.0	32.0	1.0	1.0	0.49615384615384617
0.0	0.0	0.0	984.0	3.0	1.0	1.0
0.0	153.0	0.0	995.0	1.0	0.0	0.8667247386759582
0.0	0.0	0.0	983.0	3.0	1.0	1.0
1.0	0.0	0.0	971.0	3.0	1.0	0.9989711934156379
231.0	1.0	0.0	0.0	3.0	0.0	0.9956896551724138
0.0	0.0	0.0	1976.0	3.0	1.0	1.0
424.0	0.0	0.0	2.0	2.0	0.0	0.9953051643192489
934.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	374.0	0.0	42.0	1.0	1.0	0.8990384615384616
8.0	0.0	0.0	1181.0	3.0	1.0	0.9932716568544996
25.0	557.0	0.0	4.0	1.0	1.0	0.9505119453924915
2.0	1468.0	0.0	1.0	1.0	1.0	0.9979605710401088
5.0	1282.0	56.0	0.0	1.0	1.0	0.9545793000744601
96.0	554.0	0.0	0.0	0.0	0.0	0.8523076923076923
1.0	492.0	0.0	2.0	1.0	1.0	0.9939393939393939
2.0	108.0	0.0	3.0	1.0	1.0	0.9557522123893806
13.0	5.0	0.0	988.0	2.0	0.0	0.9821073558648111
983.0	0.0	0.0	5.0	0.0	1.0	0.9949392712550608
1817.0	1.0	0.0	1.0	0.0	1.0	0.9989004947773502
450.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	0.0	105.0	458.0	3.0	1.0	0.8134991119005328
1.0	0.0	0.0	1006.0	3.0	1.0	0.9990069513406157
0.0	846.0	0.0	25.0	1.0	1.0	0.9712973593570609
0.0	266.0	0.0	342.0	3.0	1.0	0.5625
0.0	0.0	0.0	474.0	2.0	0.0	1.0
0.0	0.0	0.0	475.0	2.0	0.0	1.0
0.0	262.0	0.0	0.0	0.0	0.0	1.0
508.0	0.0	0.0	0.0	2.0	0.0	1.0
535.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	516.0	0.0	0.0	2.0	0.0	1.0
0.0	1.0	0.0	582.0	3.0	1.0	0.9982847341337907
0.0	0.0	0.0	985.0	3.0	1.0	1.0
467.0	1.0	0.0	0.0	3.0	0.0	0.9978632478632479
0.0	0.0	0.0	1009.0	3.0	1.0	1.0
0.0	35.0	0.0	158.0	2.0	0.0	0.8186528497409327
4.0	796.0	0.0	0.0	0.0	0.0	0.995
0.0	64.0	0.0	272.0	1.0	0.0	0.8095238095238095
0.0	66.0	0.0	279.0	1.0	0.0	0.808695652173913
0.0	507.0	0.0	0.0	1.0	1.0	1.0
1.0	1118.0	0.0	0.0	2.0	0.0	0.9991063449508489
1.0	296.0	0.0	1027.0	1.0	0.0	0.775679758308157
2.0	0.0	0.0	1022.0	3.0	1.0	0.998046875
0.0	0.0	0.0	1022.0	3.0	1.0	1.0
450.0	0.0	0.0	0.0	1.0	0.0	1.0
0.0	0.0	0.0	1022.0	2.0	0.0	1.0
137.0	0.0	0.0	14.0	3.0	0.0	0.9072847682119205
1.0	5.0	0.0	968.0	3.0	1.0	0.9938398357289527
8.0	31.0	0.0	0.0	0.0	0.0	0.7948717948717948
0.0	0.0	0.0	1027.0	3.0	1.0	1.0
83.0	6.0	0.0	4189.0	3.0	1.0	0.9791958859280038
659.0	0.0	0.0	7.0	0.0	1.0	0.9894894894894894
1.0	280.0	3.0	434.0	1.0	0.0	0.6044568245125348
1.0	237.0	0.0	1063.0	3.0	1.0	0.8170637970791699
59.0	1.0	0.0	285.0	1.0	0.0	0.8260869565217391
0.0	0.0	0.0	1071.0	3.0	1.0	1.0
156.0	135.0	0.0	120.0	0.0	1.0	0.3795620437956204
0.0	532.0	0.0	0.0	1.0	1.0	1.0
1.0	0.0	11.0	0.0	2.0	1.0	0.9166666666666666
0.0	19.0	0.0	0.0	2.0	0.0	1.0
550.0	0.0	0.0	0.0	0.0	1.0	1.0
530.0	0.0	0.0	0.0	0.0	1.0	1.0
39.0	0.0	0.0	288.0	2.0	0.0	0.8807339449541285
910.0	0.0	0.0	4.0	0.0	1.0	0.9956236323851203
0.0	0.0	0.0	1057.0	3.0	1.0	1.0
125.0	712.0	0.0	0.0	0.0	0.0	0.8506571087216248
475.0	2.0	0.0	0.0	0.0	1.0	0.9958071278825996
0.0	0.0	0.0	322.0	2.0	0.0	1.0
0.0	247.0	0.0	0.0	1.0	1.0	1.0
409.0	508.0	0.0	0.0	0.0	0.0	0.5539803707742639
577.0	1.0	0.0	2.0	1.0	0.0	0.9948275862068966
574.0	1.0	0.0	6.0	0.0	1.0	0.9879518072289156
3.0	0.0	84.0	0.0	3.0	0.0	0.9655172413793104
960.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	2.0	0.0	0.0	0.0	0.0	1.0
85.0	37.0	0.0	7.0	1.0	0.0	0.6589147286821705
1.0	100.0	298.0	0.0	1.0	0.0	0.7468671679197995
3.0	330.0	0.0	0.0	3.0	0.0	0.990990990990991
18.0	335.0	0.0	0.0	0.0	0.0	0.9490084985835694
0.0	0.0	0.0	22.0	3.0	1.0	1.0
0.0	0.0	341.0	1.0	2.0	1.0	0.9970760233918129
644.0	464.0	0.0	0.0	0.0	1.0	0.5812274368231047
0.0	0.0	7.0	7.0	0.0	0.0	0.5
1174.0	51.0	0.0	3.0	0.0	1.0	0.9560260586319218
586.0	0.0	0.0	282.0	1.0	0.0	0.6751152073732719
231.0	0.0	0.0	2.0	3.0	0.0	0.9914163090128756
2.0	307.0	0.0	0.0	1.0	1.0	0.9935275080906149
5.0	301.0	0.0	0.0	0.0	0.0	0.9836601307189542
643.0	283.0	0.0	0.0	0.0	1.0	0.6943844492440605
469.0	0.0	0.0	0.0	0.0	1.0	1.0
557.0	0.0	0.0	0.0	1.0	0.0	1.0
0.0	153.0	0.0	0.0	3.0	0.0	1.0
0.0	4.0	3.0	106.0	1.0	0.0	0.9380530973451328
25.0	124.0	0.0	0.0	0.0	0.0	0.8322147651006712
562.0	0.0	0.0	0.0	0.0	1.0	1.0
14.0	0.0	0.0	1073.0	3.0	1.0	0.9871205151793928
0.0	0.0	0.0	351.0	3.0	1.0	1.0
0.0	1.0	0.0	0.0	2.0	0.0	1.0
622.0	0.0	0.0	0.0	0.0	1.0	1.0
21.0	10.0	0.0	5.0	1.0	0.0	0.5833333333333334
0.0	0.0	0.0	340.0	3.0	1.0	1.0
198.0	314.0	0.0	3.0	1.0	1.0	0.6097087378640776
61.0	258.0	0.0	0.0	0.0	0.0	0.8087774294670846
491.0	5.0	0.0	1.0	0.0	1.0	0.9879275653923542
508.0	5.0	0.0	0.0	0.0	1.0	0.9902534113060428
0.0	0.0	0.0	1053.0	3.0	1.0	1.0
0.0	0.0	0.0	20.0	1.0	0.0	1.0
564.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	1.0	23.0	19.0	1.0	0.0	0.5348837209302325
494.0	0.0	0.0	0.0	0.0	1.0	1.0
1.0	0.0	0.0	1070.0	1.0	0.0	0.9990662931839402
0.0	0.0	329.0	601.0	3.0	1.0	0.646236559139785
0.0	230.0	0.0	2.0	1.0	1.0	0.9913793103448276
0.0	559.0	0.0	0.0	3.0	0.0	1.0
0.0	0.0	0.0	27.0	2.0	0.0	1.0
25.0	0.0	0.0	0.0	1.0	0.0	1.0
10.0	530.0	0.0	0.0	2.0	0.0	0.9814814814814815
0.0	342.0	0.0	0.0	1.0	1.0	1.0
epoch:2
train path acc=0.9534204515990461	test path acc=0.6117968356651359	ensemble acc=0.6363636363636364
vote rate for correct=0.8570140893813717	vote rate for wrong=0.820686418797906
results			label	correct	vote rate
12.0	10.0	0.0	3.0	0.0	1.0	0.48
0.0	2.0	2.0	3.0	2.0	0.0	0.42857142857142855
0.0	0.0	0.0	38.0	3.0	1.0	1.0
6.0	8.0	0.0	28.0	3.0	1.0	0.6666666666666666
23.0	9.0	0.0	0.0	0.0	1.0	0.71875
0.0	29.0	50.0	157.0	3.0	1.0	0.6652542372881356
0.0	16.0	0.0	175.0	3.0	1.0	0.9162303664921466
32.0	56.0	0.0	1378.0	3.0	1.0	0.9399727148703957
0.0	0.0	0.0	86.0	3.0	1.0	1.0
86.0	10.0	0.0	1.0	0.0	1.0	0.8865979381443299
0.0	115.0	1.0	296.0	3.0	1.0	0.7184466019417476
1.0	68.0	0.0	18.0	1.0	1.0	0.7816091954022989
0.0	42.0	0.0	0.0	1.0	1.0	1.0
0.0	0.0	0.0	91.0	3.0	1.0	1.0
193.0	107.0	0.0	1630.0	3.0	1.0	0.844559585492228
82.0	76.0	0.0	81.0	0.0	1.0	0.34309623430962344
16.0	147.0	0.0	82.0	1.0	1.0	0.6
0.0	0.0	0.0	343.0	2.0	0.0	1.0
274.0	332.0	0.0	1274.0	3.0	1.0	0.6776595744680851
147.0	101.0	0.0	102.0	1.0	0.0	0.42
313.0	214.0	0.0	545.0	3.0	1.0	0.5083955223880597
0.0	0.0	0.0	679.0	3.0	1.0	1.0
181.0	2.0	0.0	0.0	0.0	1.0	0.9890710382513661
0.0	41.0	0.0	0.0	1.0	1.0	1.0
0.0	0.0	0.0	35.0	1.0	0.0	1.0
0.0	0.0	0.0	52.0	1.0	0.0	1.0
378.0	19.0	0.0	0.0	0.0	1.0	0.9521410579345088
1.0	216.0	0.0	421.0	3.0	1.0	0.6598746081504702
0.0	148.0	0.0	0.0	1.0	1.0	1.0
285.0	1.0	0.0	2121.0	3.0	1.0	0.88117989198172
13.0	1143.0	150.0	696.0	2.0	0.0	0.570929070929071
23.0	322.0	0.0	0.0	0.0	0.0	0.9333333333333333
0.0	0.0	0.0	167.0	2.0	0.0	1.0
1157.0	801.0	290.0	166.0	0.0	1.0	0.47928748964374485
85.0	1471.0	230.0	291.0	1.0	1.0	0.7082330284063553
0.0	53.0	0.0	1720.0	3.0	1.0	0.970107163000564
718.0	1083.0	98.0	3717.0	3.0	1.0	0.6618589743589743
0.0	371.0	78.0	989.0	3.0	1.0	0.6877607788595271
391.0	1562.0	86.0	123.0	1.0	1.0	0.7224791859389454
170.0	145.0	0.0	0.0	0.0	1.0	0.5396825396825397
0.0	23.0	0.0	2155.0	0.0	0.0	0.9894398530762167
0.0	0.0	0.0	384.0	3.0	1.0	1.0
272.0	2361.0	236.0	5675.0	1.0	0.0	0.6642088014981273
590.0	232.0	0.0	52.0	1.0	0.0	0.6750572082379863
395.0	1575.0	0.0	70.0	1.0	1.0	0.7720588235294118
726.0	0.0	0.0	189.0	0.0	1.0	0.7934426229508197
0.0	0.0	0.0	391.0	3.0	1.0	1.0
538.0	51.0	0.0	1452.0	3.0	1.0	0.7114159725624694
802.0	136.0	128.0	739.0	3.0	0.0	0.4443213296398892
16.0	34.0	0.0	84.0	0.0	0.0	0.6268656716417911
754.0	405.0	2.0	87.0	3.0	0.0	0.6041666666666666
108.0	0.0	0.0	0.0	0.0	1.0	1.0
0.0	3.0	0.0	2635.0	3.0	1.0	0.9988627748294162
19.0	993.0	18.0	213.0	1.0	1.0	0.7988736926790024
1.0	0.0	0.0	855.0	3.0	1.0	0.9988317757009346
2167.0	1983.0	11.0	120.0	0.0	1.0	0.5061901424900724
1.0	1.0	0.0	2.0	0.0	0.0	0.5
2.0	4.0	0.0	2.0	1.0	1.0	0.5
